ano,curso,vagas,inscritos,pontos_minimo,pontos_maximo,candidatos_por_vaga
1994,Musica,30,79,50,96,2.63
1994,Artes Cenicas−Bacharelado,15,365,33,55,24.33
1994,Artes Cenicas−Licenciatura,10,101,27,55,10.1
1994,Artes Plasticas,20,476,33,55,23.8
1994,Biblioteconomia−USP,30,290,26,53,9.67
1994,Biblioteconomia−Ufscar,40,63,13,45,1.58
1994,Cinema e Video,15,301,40,59,20.07
1994,Producao Editorial,15,378,36,60,25.2
1994,Jornalismo,45,2497,41,67,55.49
1994,Publicidade e Propaganda,40,3342,40,66,83.55
1994,Radio e Televisao,20,494,36,58,24.7
1994,Relacoes Publicas,20,590,33,55,29.5
1994,Turismo,20,948,35,58,47.4
1994,Ciencias Sociais,200,1140,29,62,5.7
1994,Ciencias Sociais−Ufscar,40,168,25,48,4.2
1994,Filosofia,160,912,28,60,5.7
1994,Geografia,160,871,26,61,5.44
1994,Historia,260,1494,28,58,5.75
1994,Letras,875,4961,26,63,5.67
1994,Administracao,400,8878,38,68,22.2
1994,Administracao−Ribeirao Preto,40,811,36,58,20.28
1994,Ciencias Contabeis,140,2087,31,59,14.91
1994,Ciencias Contabeis−Ribeirao Preto,40,435,28,57,10.88
1994,Economia,180,2037,37,70,11.32
1994,Economia−Ribeirao Preto,40,396,33,59,9.9
1994,Arquitetura FAU,150,3064,39,65,20.43
1994,Arquitetura−Sao Carlos,30,554,36,55,18.47
1994,Direito,450,15884,40,68,35.3
1994,Pedagogia,120,1913,26,60,15.94
1994,Pedagogia−Ufscar,50,167,21,41,3.34
1994,Treineiro de Biologicas,900,6202,28,58,6.89
1994,Ciencias Biologicas,180,1773,34,69,9.85
1994,Ciencias Biologicas−Epm,23,366,36,63,15.91
1994,Ciencias Biologicas−Ribeirao Preto,40,465,34,52,11.63
1994,Enfermagem,190,1689,25,57,8.89
1994,Enfermagem−Ribeirao Preto,80,633,26,49,7.91
1994,Farmacia−Bioquimica,135,2653,37,63,19.65
1994,Farmacia−Bioquimica−Ribeirao Preto,50,1022,37,62,20.44
1994,Medicina e Ciencias Medicas,485,14235,49,69,29.35
1994,Medicina Veterinaria,80,2619,39,67,32.74
1994,Zootecnia,30,367,32,58,12.23
1994,Odontologia,133,4514,39,64,33.94
1994,Odontologia−Ribeirao Preto,80,2065,39,61,25.81
1994,Odontologia−Bauru,50,839,39,60,16.78
1994,Fonoaudiologia,58,742,30,58,12.79
1994,Fonoaudiologia−Bauru,25,361,29,51,14.44
1994,Ortoptica,13,129,30,48,9.92
1994,Fisioterapia,65,2165,36,62,33.31
1994,Terapia Ocupacional,55,687,28,50,12.49
1994,Nutricao,40,1167,32,54,29.18
1994,Psicologia−USP−Capital,70,1749,34,62,24.99
1994,Psicologia,80,1622,31,61,20.28
1994,Educacao Fisica−USP,50,1344,29,58,26.88
1994,Esporte,50,541,28,54,10.82
1994,Educacao Fisica−Ufscar,40,333,24,52,8.33
1994,Engenharia Agronomica,240,1520,30,61,6.33
1994,Engenharia Florestal,40,202,27,53,5.05
1994,Treineiro de Humanidades,900,6187,28,60,6.87
1994,Engenharia e Ciencias Exatas,844,12058,43,70,14.29
1994,Engenharia Sao Carlos,120,1620,42,66,13.5
1994,Engenharia Civil−Sao Carlos,60,495,36,63,8.25
1994,Engenharia−Ufscar,230,1962,38,68,8.53
1994,Engenharia Civil−Sao Carlos−Ufscar,50,242,30,59,4.84
1994,Ciencias Exatas−Sao Carlos,40,154,25,52,3.85
1994,Matematica/Estatistica−Sao Carlos,130,328,22,60,2.52
1994,Computacao−Sao Carlos,100,2183,38,62,21.83
1994,Licenciatura em Matematica/Fisica,250,1330,26,55,5.32
1994,Fisica/Meteorologia,270,984,32,67,3.64
1994,Quimica,60,398,34,67,6.63
1994,Quimica−Ribeirao Preto,40,173,28,53,4.33
1994,Quimica−Sao Carlos,90,422,28,62,4.69
1994,Ciencias da Terra,70,381,29,62,5.44
1994,Treineiro de Exatas,900,3901,29,61,4.33
1995,Musica,30,275,63,98,9.17
1995,Artes Cenicas−Bacharelado,15,381,70,127,25.4
1995,Artes Cenicas−Licenciatura,10,142,59,99,14.2
1995,Artes Plasticas,20,394,68,137,19.7
1995,Biblioteconomia,30,310,57,117,10.33
1995,Biblioteconomia − Ufscar,40,201,44,73,5.03
1995,Cinema e Video,15,358,82,124,23.87
1995,Producao Editorial,15,539,75,122,35.93
1995,Jornalismo,45,2583,80,132,57.4
1995,Publicidade e Propaganda,40,3400,79,136,85.0
1995,Radio e Televisao,20,518,71,126,25.9
1995,Relacoes Publicas,20,625,68,111,31.25
1995,Turismo,20,1024,70,110,51.2
1995,Ciencias Sociais,200,1354,62,123,6.77
1995,Ciencias Sociais − Ufscar,40,115,47,98,2.88
1995,Filosofia,160,615,60,126,3.84
1995,Geografia,160,695,57,106,4.34
1995,Historia,260,1527,61,124,5.87
1995,Letras,875,4652,57,126,5.32
1995,Administracao,400,8992,74,138,22.48
1995,Administracao − Ribeirao Preto,40,579,69,113,14.48
1995,Ciencias Contabeis,140,1968,64,125,14.06
1995,Ciencias Contabeis − Rib Preto,40,290,56,104,7.25
1995,Economia,180,1922,73,134,10.68
1995,Economia − Ribeirao Preto,40,317,67,117,7.93
1995,Arquitetura − FAU,150,3178,78,138,21.19
1995,Arquitetura − Sao Carlos,30,641,72,115,21.37
1995,Direito,450,16251,76,139,36.11
1995,Pedagogia,120,1661,53,131,13.84
1995,Pedagogia − Ufscar,50,162,45,77,3.24
1995,Treineiros de Humanidades,600,6485,61,118,10.81
1995,Ciencias Biologicas,180,2107,69,120,11.71
1995,Ciencias Biologicas−Epm,23,485,74,116,21.09
1995,Ciencias Biologicas−Rib Preto,40,277,68,104,6.93
1995,Enfermagem,190,1863,53,106,9.81
1995,Enfermagem − Ribeirao Preto,80,330,47,101,4.13
1995,Farmacia Bioquimica,135,2399,72,131,17.77
1995,Farm Bioquimica − Rib Preto,50,1065,73,113,21.3
1995,Medicina e Ciencias Medicas,485,14376,91,145,29.64
1995,Medicina Veterinaria,80,2706,75,122,33.83
1995,Zootecnia−Pirassunuga,30,388,63,112,12.93
1995,Odontologia−Sao Paulo,133,4196,74,127,31.55
1995,Odontologia − Ribeirao Preto,80,1702,74,116,21.28
1995,Odontologia − Bauru,50,1530,76,119,30.6
1995,Fonoaudiologia−Sao Paulo,58,823,61,107,14.19
1995,Fonoaudiologia − Bauru,25,280,61,104,11.2
1995,Ortoptica,13,160,56,76,12.31
1995,Fisioterapia,25,870,72,124,34.8
1995,Fisioterapia−Ufscar,40,1005,68,110,25.13
1995,Terapia Ocupacional,55,654,58,105,11.89
1995,Nutricao,40,1184,65,118,29.6
1995,Psicologia − USP − Capital,70,1743,69,118,24.9
1995,Psicologia,80,1326,62,112,16.58
1995,Educacao Fisica − USP,50,1311,57,105,26.22
1995,Esporte,50,747,61,119,14.94
1995,Educacao Fisica − Ufscar,40,370,48,87,9.25
1995,Engenharia Agronomica,240,1590,61,114,6.63
1995,Engenharia Florestal,40,164,54,122,4.1
1995,Treineiros de Biologicas,600,6992,61,115,11.65
1995,Engenharia e Ciencias Exatas,844,11050,82,142,13.09
1995,Engenharia − Sao Carlos,120,1364,78,130,11.37
1995,Engenharia Civil−Sao Carlos−USP,60,338,71,128,5.63
1995,Engenharia−Ufscar−Sao Carlos,230,1923,73,131,8.36
1995,Engenharia Civil−Ufscar−Sao Carlos,50,722,67,110,14.44
1995,Ciencias Exatas−Sao Carlos,40,90,41,89,2.25
1995,Matematica/Estatistica−Sao Carlos,130,288,40,124,2.22
1995,Computacao−Sao Carlos,100,2003,73,128,20.03
1995,Licenciatura em Matematica/Fisica,250,1107,55,117,4.43
1995,Fisica/Meteorologia−Sao Paulo,180,807,67,124,4.48
1995,Fisica−Sao Carlos,90,152,44,128,1.69
1995,Quimica−Sao Paulo,60,455,69,131,7.58
1995,Quimica−Ribeirao Preto,50,196,58,124,3.92
1995,Quimica−Sao Carlos,90,247,51,104,2.74
1995,Ciencias da Terra,70,262,59,115,3.74
1995,Treineiros de Exatas,600,3568,63,133,5.95
1996,Musica,30,219,60,117,7.3
1996,Artes Cenicas Bacharelado,15,362,68,98,24.13
1996,Artes Cenicas − Licenciatura,10,119,61,98,11.9
1996,Artes Plasticas,20,352,67,105,17.6
1996,Biblioteconomia,30,142,54,93,4.73
1996,Biblioteconomia − Ufscar,40,77,28,77,1.93
1996,Cinema e Video,15,337,82,112,22.47
1996,Imagem e Som − Ufscar,40,239,56,114,5.98
1996,Editoracao,15,388,79,112,25.87
1996,Jornalismo,45,1972,87,124,43.82
1996,Publicidade e Propaganda,40,2519,88,130,62.98
1996,Radialismo,20,361,69,102,18.05
1996,Relacoes Publicas,20,431,68,95,21.55
1996,Turismo,20,836,72,104,41.8
1996,Ciencias Sociais,200,1178,60,125,5.89
1996,Ciencias Sociais − Ufscar,40,204,53,85,5.1
1996,Filosofia,160,590,57,120,3.69
1996,Geografia,160,635,55,106,3.97
1996,Historia,260,1322,59,114,5.08
1996,Letras,835,3443,54,127,4.12
1996,Licenciatura em Letras − Ufscar,40,222,50,99,5.55
1996,Administracao,200,6031,82,128,30.16
1996,Administracao − Ribeirao Preto,40,737,68,102,18.43
1996,Ciencias Contabeis,140,1502,60,113,10.73
1996,Ciencias Contabeis − Ribeirao Preto,40,217,55,96,5.43
1996,Economia,180,1773,70,135,9.85
1996,Economia − Ribeirao Preto,40,239,62,111,5.98
1996,Arquitetura − FAU,150,2998,77,126,19.99
1996,Arquitetura − Sao Carlos,30,543,73,124,18.1
1996,Direito,450,13799,84,138,30.66
1996,Pedagogia,120,1027,51,112,8.56
1996,Pedagogia − Ufscar,50,187,43,71,3.74
1996,Treineiros de Humanidades,600,6360,57,107,10.6
1996,Ciencias Biologicas,180,1768,67,123,9.82
1996,Ciencias Biologicas − Unifesp,23,406,78,119,17.65
1996,Ciencias Biologicas − Ribeirao Preto,40,356,63,100,8.9
1996,Enfermagem,190,1514,50,101,7.97
1996,Enfermagem − Ribeirao Preto,80,601,52,96,7.51
1996,Farmacia − Bioquimica,135,1805,68,117,13.37
1996,Farmacia − Bioquimica − Ribeirao Preto,50,755,69,111,15.1
1996,Medicina e Ciencias Medicas,485,14486,96,142,29.87
1996,Medicina Veterinaria,80,2388,78,112,29.85
1996,Zootecnia − Pirassununga,30,319,59,102,10.63
1996,Odontologia,133,3626,77,124,27.26
1996,Odontologia − Ribeirao Preto,80,2251,77,107,28.14
1996,Odontologia − Bauru,50,630,73,113,12.6
1996,Fonoaudiologia,58,758,60,94,13.07
1996,Fonoaudiologia − Bauru,25,253,55,99,10.12
1996,Ortoptica,13,166,59,89,12.77
1996,Fisioterapia,25,864,76,121,34.56
1996,Fisioterapia − Ufscar,40,1073,69,111,26.83
1996,Terapia Ocupacional,55,598,58,102,10.87
1996,Nutricao,40,1059,64,99,26.48
1996,Psicologia,70,1689,71,127,24.13
1996,Psicologia − Interior,80,1423,63,112,17.79
1996,Educacao Fisica,50,968,55,105,19.36
1996,Esporte,50,725,59,108,14.5
1996,Educacao Fisica − Ufscar,40,358,49,90,8.95
1996,Engenharia Agronomica,240,1302,56,106,5.43
1996,Engenharia Florestal,40,168,50,106,4.2
1996,Treineiros de Biologicas,600,7431,57,121,12.39
1996,Engenharia e Ciencias Exatas,844,9364,76,139,11.09
1996,Engenharia − USP − Sao Carlos,130,1169,73,126,8.99
1996,Engenharia Civil − USP − Sao Carlos,60,528,66,111,8.8
1996,Engenharia − Ufscar,230,1815,69,131,7.89
1996,Engenharia Civil − Ufscar,50,238,60,101,4.76
1996,Ciencias Exatas − Sao Carlos,40,83,37,88,2.08
1996,Matematica/Estatistica − Sao Carlos,130,387,43,125,2.98
1996,Computacao − Sao Carlos,100,1875,70,137,18.75
1996,Licenciatura em Matematica/Fisica − SP,250,759,49,119,3.04
1996,Fisica/Meteorologia,270,900,60,130,3.33
1996,Quimica,60,335,66,137,5.58
1996,Quimica − Ribeirao Preto,50,138,51,82,2.76
1996,Quimica − USP − Sao Carlos,40,210,57,93,5.25
1996,Quimica − Ufscar,50,119,46,97,2.38
1996,Ciencias da Terra,70,262,55,103,3.74
1996,Treineiros de Exatas,600,3624,60,123,6.04
1997,Musica,30,255,58,110,8.5
1997,Artes Cenicas − Bacharelado,15,372,70,121,24.8
1997,Artes Cenicas − Licenciatura,10,95,56,126,9.5
1997,Artes Plasticas,20,376,65,108,18.8
1997,Biblioteconomia,30,286,51,117,9.53
1997,Biblioteconomia − Ufscar,40,276,44,75,6.9
1997,Cinema e Video,15,372,86,131,24.8
1997,Imagem e Som − Ufscar,40,322,61,106,8.05
1997,Editoracao,15,476,79,134,31.73
1997,Jornalismo,45,2000,92,130,44.44
1997,Publicidade e Propaganda,40,2602,88,126,65.05
1997,Radialismo,20,459,74,104,22.95
1997,Relacoes Publicas,20,558,73,109,27.9
1997,Turismo,20,1472,82,136,73.6
1997,Ciencias Sociais,200,997,60,105,4.99
1997,Ciencias Sociais − Ufscar,40,142,49,89,3.55
1997,Filosofia,160,642,59,124,4.01
1997,Geografia,160,696,55,117,4.35
1997,Historia,260,1272,58,124,4.89
1997,Letras,808,3595,54,128,4.45
1997,Licenciatura em Letras − Ufscar,40,193,51,111,4.83
1997,Administracao,200,4782,83,146,23.91
1997,Administracao − Ribeirao Preto,40,704,72,112,17.6
